Địa chỉ,Quận,Huyện,Loại hình nhà ở,Giấy tờ pháp lý,Số tầng,Số phòng ngủ,Diện tích,Dài,Rộng,Giá/m2,Năm,Tháng,Ngày,Ngày/Tháng/Năm
"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,4,5 phòng,46 m²,10 m,4 m,"86,96 triệu/m²",2020,8,5,5/8/2020
"Đường Kim Giang, Phường Kim Giang, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Kim Giang,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3 phòng,37 m²,10 m,4 m,"116,22 triệu/m²",2020,8,5,5/8/2020
"phố minh khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,40 m²,10 m,4 m,65 triệu/m²,2020,8,5,5/8/2020
"Đường Võng Thị, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",Quận Tây Hồ,Phường Thụy Khuê,"Nhà ngõ, hẻm",Đã có sổ,4,6 phòng,51 m²,12.75 m,4 m,100 triệu/m²,2020,8,5,5/8/2020
"Đường Kim Giang, Phường Kim Giang, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,36 m²,9 m,4 m,"86,11 triệu/m²",2020,8,5,5/8/2020
"Đường Yên Hòa, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,4,nhiều hơn 10 phòng,46 m²,12.1 m,3.8 m,"104,35 triệu/m²",2020,8,5,5/8/2020
"Đường Tây Sơn, Phường Trung Liệt, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,52 m²,12.1 m,4.5 m,"112,5 triệu/m²",2020,8,5,5/8/2020
"Đường Lò Đúc, Phường Đống Mác, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Đống Mác,"Nhà mặt phố, mặt tiền",Đã có sổ,6,5 phòng,32 m²,12.1 m,6.8 m,"184,38 triệu/m²",2020,8,5,5/8/2020
"Đường Xuân La, Phường Xuân La, Quận Tây Hồ, Hà Nội",Quận Tây Hồ,Phường Xuân La,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,75 m²,12 m,6.5 m,120 triệu/m²,2020,8,5,5/8/2020
"Đường 19/5, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,41 m²,12 m,3.5 m,"64,63 triệu/m²",2020,8,5,5/8/2020
